speed, left_area
1.441860465116279,True
1.319148936170213,True
1.512195121951219,True
1.7222222222222214,True
1.291666666666667,True
1.291666666666667,True
1.7222222222222214,True
1.5499999999999994,True
1.2156862745098045,True
1.4761904761904758,True
1.2400000000000004,True
1.2156862745098045,True
1.409090909090909,True
0.8611111111111123,True
0.911764705882354,True
1.192307692307693,True
1.087719298245615,True
1.441860465116279,True
1.1071428571428579,True
0.9841269841269852,True
1.6756756756756748,True
1.291666666666667,True
1.347826086956522,True
0.9841269841269852,True
1.192307692307693,True
1.3777777777777778,True
1.0689655172413801,True
1.409090909090909,True
1.192307692307693,True
1.2653061224489799,True
1.192307692307693,True
1.823529411764705,True
1.319148936170213,True
1.0689655172413801,True
1.512195121951219,True
1.0333333333333343,True
1.409090909090909,True
0.8493150684931519,True
1.000000000000001,True
1.3777777777777778,True
1.5499999999999994,True
1.3777777777777778,True
1.319148936170213,True
1.2653061224489799,True
0.968750000000001,True
1.1698113207547176,True
1.2400000000000004,True
1.589743589743589,True
1.441860465116279,True
0.8985507246376823,True
1.441860465116279,True
1.2653061224489799,True
1.1698113207547176,True
1.512195121951219,True
1.589743589743589,True
1.5499999999999994,True
1.127272727272728,True
1.2653061224489799,True
1.441860465116279,True
1.589743589743589,True
